"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Find user schools success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find user schools","",""
"","0","Lesson service find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service find by id","",""
"","0","Course service is course student failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service is course student","",""
"","0","Auth service payload success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service payload","",""
"","0","Process payment failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Process payment","",""
"","0","Review repository create review failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository create review","",""
"","0","Auth service refresh token failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service refresh token","",""
"","0","Course service find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service find all","",""
"","0","Save user avatar success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save user avatar","",""
"","0","Course repository add course student failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository add course student","",""
"","0","User repository find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find all","",""
"","1","Course service find student courses failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","FindStudentCourses","",""
"","0","Lesson service update video lesson failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service update video lesson","",""
"","0","School repository find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find by id","",""
"","0","Course service create course failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service create course","",""
"","1","Course repository find course teachers failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find course teachers","",""
"","0","Course repository is course student success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository is course student","",""
"","0","Create user failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Create user","",""
"","0","Process payment success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Process payment","",""
"","1","Find school courses failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find school courses","",""
"","0","Course service find teacher courses failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service find teacher courses","",""
"","0","Auth service log out failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service log out","",""
"","0","Lesson repository create lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository create lesson","",""
"","0","Find user by credentials success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find user by credentials","",""
"","0","Stat repository find lesson stat success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Stat repository find lesson stat","",""
"","0","Review repository find user reviews failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find user reviews","",""
"","0","Is school teacher failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Is school teacher","",""
"","0","Course service is course teacher failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service is course teacher","",""
"","0","Review service find course reviews failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find course reviews","",""
"","0","Course service find all failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service find all","",""
"","1","Find school courses success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find school courses","",""
"","0","Find school by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find school by id","",""
"","1","Update school success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Update school","",""
"","0","Lesson service find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service find by id","",""
"","1","Save lesson theory success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save lesson theory","",""
"","0","School repository find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find by id","",""
"","1","School repository find user schools success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository find user schools","",""
"","0","Review repository find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find by id","",""
"","0","School repository add school teacher success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository add school teacher","",""
"","0","Create test failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Create test stat","",""
"","0","Find school teachers success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find school teachers","",""
"","0","Find all schools failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find all schools","",""
"","0","Review service find user reviews success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find user reviews","",""
"","0","Stat repository update lesson stat success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Stat repository update lesson stat","",""
"","0","Lesson repository create lesson failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository create lesson","",""
"","0","Review service delete failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service delete","",""
"","0","Review repository find user reviews success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find user reviews","",""
"","0","Course service is course student success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service is course student","",""
"","1","Update school failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Update school","",""
"","0","User repository find by credentials success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by credentials","",""
"","0","Lesson repository find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository find by id","",""
"","0","Save test question failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save test question","",""
"","0","School repository create school success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository create school","",""
"","0","Course repository find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find all","",""
"","0","Review repository find course reviews failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review repository find course reviews","",""
"","0","Review service create failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service create","",""
"","0","Find user schools failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find user schools","",""
"","1","User repository find by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by id","",""
"","0","School repository add school teacher failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository add school teacher","",""
"","0","User repository find all failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find all","",""
"","0","Update user success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Update user","",""
"","0","Review service find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find by id","",""
"","0","Review service find all failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find all","",""
"","0","Lesson service find course lessons failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service find course lessons","",""
"","0","Course service confirm draft course failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service confirm draft course","",""
"","1","Save lesson theory failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Save lesson theory","",""
"","0","Course service add course teacher failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service add course teacher","",""
"","0","Course service is course teacher success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service is course teacher","",""
"","0","Course repository find all failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find all","",""
"","0","Course repository is course student failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository is course student","",""
"","1","Course service find student courses success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","FindStudentCourses","",""
"","0","School repository update school failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository update school","",""
"","0","Lesson repository delete lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository delete lesson","",""
"","0","User repository create user success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository create user","",""
"","0","Stat repository create lesson stat failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Stat repository create lesson stat","",""
"","0","User repository create user failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository create user","",""
"","0","Find school by id success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find school by id","",""
"","0","Course repository add course teacher success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository add course teacher","",""
"","0","Create user success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Create user","",""
"","0","Auth service verify token failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Auth service verify token","",""
"","1","Find user by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find user by id","",""
"","0","Find all schools success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Find all schools","",""
"","0","Course repository find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course repository find by id","",""
"","0","Review service find all success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Review service find all","",""
"","0","Delete school failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Delete school","",""
"","0","School repository is school teacher success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","School repository is school teacher","",""
"","0","Course service add course teacher success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service add course teacher","",""
"","1","User repository find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","User repository find by id","",""
"","0","Lesson service update video lesson success","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson service update video lesson","",""
"","0","Course service find by id failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Course service find by id","",""
"","0","Lesson repository find lesson tests failure","","Tue Oct 01 12:06:03 MSK 2024","passed","Tue Oct 01 12:06:03 MSK 2024","","Lesson repository find lesson tests","",""
